m_ratings,teams,date
1045,New Zealand,1973-02-11
1005,England,1973-02-11
1002,Australia,1973-02-11
1000,Canada,1973-02-11
1000,Zimbabwe,1973-02-11
1000,Bangladesh,1973-02-11
1000,South Africa,1973-02-11
1000,United Arab Emirates,1973-02-11
1000,Netherlands,1973-02-11
1000,Kenya,1973-02-11
1000,Scotland,1973-02-11
1000,Namibia,1973-02-11
1000,Hong Kong,1973-02-11
1000,United States of America,1973-02-11
1000,ICC World XI,1973-02-11
1000,Asia XI,1973-02-11
1000,Africa XI,1973-02-11
1000,Bermuda,1973-02-11
1000,Ireland,1973-02-11
1000,Afghanistan,1973-02-11
1000,Papua New Guinea,1973-02-11
1000,Nepal,1973-02-11
1000,Oman,1973-02-11
999,Sri Lanka,1973-02-11
999,East Africa,1973-02-11
998,India,1973-02-11
996,West Indies,1973-02-11
952,Pakistan,1973-02-11
1035,New Zealand,1973-03-11
1015,England,1973-03-11
1006,Australia,1973-03-11
1001,Zimbabwe,1973-03-11
1000,Bangladesh,1973-03-11
1000,South Africa,1973-03-11
1000,United Arab Emirates,1973-03-11
1000,Netherlands,1973-03-11
1000,Kenya,1973-03-11
1000,Scotland,1973-03-11
1000,Namibia,1973-03-11
1000,Hong Kong,1973-03-11
1000,United States of America,1973-03-11
1000,ICC World XI,1973-03-11
1000,Asia XI,1973-03-11
1000,Africa XI,1973-03-11
1000,Bermuda,1973-03-11
1000,Ireland,1973-03-11
1000,Afghanistan,1973-03-11
1000,Papua New Guinea,1973-03-11
1000,Nepal,1973-03-11
1000,Oman,1973-03-11
999,Canada,1973-03-11
998,Sri Lanka,1973-03-11
997,East Africa,1973-03-11
996,India,1973-03-11
990,West Indies,1973-03-11
955,Pakistan,1973-03-11
1027,England,1973-04-11
1023,New Zealand,1973-04-11
1010,Australia,1973-04-11
1001,Zimbabwe,1973-04-11
1000,Bangladesh,1973-04-11
1000,South Africa,1973-04-11
1000,United Arab Emirates,1973-04-11
1000,Netherlands,1973-04-11
1000,Kenya,1973-04-11
1000,Scotland,1973-04-11
1000,Namibia,1973-04-11
1000,United States of America,1973-04-11
