m_ratings,teams,date
1053,Sri Lanka,2006-06-15
1008,Pakistan,2006-06-15
1004,Bangladesh,2006-06-15
1004,India,2006-06-15
1003,Australia,2006-06-15
1001,West Indies,2006-06-15
1001,Ireland,2006-06-15
1001,Canada,2006-06-15
1000,Netherlands,2006-06-15
1000,Nepal,2006-06-15
1000,Hong Kong,2006-06-15
1000,United Arab Emirates,2006-06-15
1000,Papua New Guinea,2006-06-15
1000,Oman,2006-06-15
1000,World-XI,2006-06-15
1000,ICC World XI,2006-06-15
1000,Bahrain,2006-06-15
1000,Kuwait,2006-06-15
1000,Saudi Arabia,2006-06-15
1000,Maldives,2006-06-15
1000,Qatar,2006-06-15
1000,United States of America,2006-06-15
1000,Vanuatu,2006-06-15
1000,Philippines,2006-06-15
1000,Spain,2006-06-15
1000,Malta,2006-06-15
1000,Belize,2006-06-15
1000,Panama,2006-06-15
1000,Mexico,2006-06-15
1000,Costa Rica,2006-06-15
1000,Germany,2006-06-15
1000,Belgium,2006-06-15
1000,Namibia,2006-06-15
1000,Uganda,2006-06-15
1000,Nigeria,2006-06-15
1000,Ghana,2006-06-15
1000,Botswana,2006-06-15
1000,Italy,2006-06-15
1000,Jersey,2006-06-15
1000,Guernsey,2006-06-15
1000,Norway,2006-06-15
1000,Denmark,2006-06-15
1000,Malaysia,2006-06-15
1000,Thailand,2006-06-15
1000,Samoa,2006-06-15
1000,Finland,2006-06-15
1000,Singapore,2006-06-15
1000,Cayman Islands,2006-06-15
1000,Romania,2006-06-15
1000,Luxembourg,2006-06-15
1000,Austria,2006-06-15
1000,Turkey,2006-06-15
1000,Czech Republic,2006-06-15
1000,Argentina,2006-06-15
1000,Brazil,2006-06-15
1000,Peru,2006-06-15
1000,Chile,2006-06-15
1000,Bulgaria,2006-06-15
1000,Serbia,2006-06-15
1000,Greece,2006-06-15
1000,Portugal,2006-06-15
1000,Gibraltar,2006-06-15
1000,Malawi,2006-06-15
1000,Mozambique,2006-06-15
1000,Bhutan,2006-06-15
1000,Iran,2006-06-15
1000,Isle of Man,2006-06-15
999,Kenya,2006-06-15
999,Scotland,2006-06-15
999,Afghanistan,2006-06-15
998,Bermuda,2006-06-15
997,New Zealand,2006-06-15
996,Zimbabwe,2006-06-15
996,South Africa,2006-06-15
942,England,2006-06-15
1060,Sri Lanka,2006-07-15
1026,Pakistan,2006-07-15
1013,Bangladesh,2006-07-15
1013,India,2006-07-15
1008,Australia,2006-07-15
1004,West Indies,2006-07-15
1003,Ireland,2006-07-15
1003,Canada,2006-07-15
1001,Nepal,2006-07-15
1001,Papua New Guinea,2006-07-15
1001,Germany,2006-07-15
1001,Italy,2006-07-15
1001,Singapore,2006-07-15
1001,Romania,2006-07-15
1001,Peru,2006-07-15
1001,Malawi,2006-07-15
1000,World-XI,2006-07-15
1000,Bahrain,2006-07-15
1000,Kuwait,2006-07-15
1000,Saudi Arabia,2006-07-15
1000,Maldives,2006-07-15
1000,Qatar,2006-07-15
1000,United States of America,2006-07-15
1000,Spain,2006-07-15
1000,Malta,2006-07-15
1000,Belize,2006-07-15
1000,Mexico,2006-07-15
1000,Costa Rica,2006-07-15
1000,Namibia,2006-07-15
1000,Uganda,2006-07-15
1000,Ghana,2006-07-15
1000,Botswana,2006-07-15
1000,Jersey,2006-07-15
1000,Guernsey,2006-07-15
1000,Norway,2006-07-15
1000,Denmark,2006-07-15
1000,Malaysia,2006-07-15
1000,Thailand,2006-07-15
1000,Luxembourg,2006-07-15
1000,Austria,2006-07-15
1000,Czech Republic,2006-07-15
1000,Argentina,2006-07-15
1000,Brazil,2006-07-15
1000,Chile,2006-07-15
1000,Bulgaria,2006-07-15
1000,Serbia,2006-07-15
1000,Greece,2006-07-15
1000,Portugal,2006-07-15
1000,Iran,2006-07-15
999,Netherlands,2006-07-15
999,Hong Kong,2006-07-15
999,United Arab Emirates,2006-07-15
999,Oman,2006-07-15
999,Vanuatu,2006-07-15
999,Philippines,2006-07-15
999,Belgium,2006-07-15
999,Nigeria,2006-07-15
999,Samoa,2006-07-15
999,Finland,2006-07-15
999,Cayman Islands,2006-07-15
999,Turkey,2006-07-15
999,Gibraltar,2006-07-15
999,Mozambique,2006-07-15
999,Bhutan,2006-07-15
998,Afghanistan,2006-07-15
996,Kenya,2006-07-15
996,Scotland,2006-07-15
995,Bermuda,2006-07-15
990,New Zealand,2006-07-15
987,Zimbabwe,2006-07-15
987,South Africa,2006-07-15
924,England,2006-07-15
NA,ICC World XI,2006-07-15
NA,Panama,2006-07-15
NA,Isle of Man,2006-07-15
1067,Sri Lanka,2006-08-15
1039,Pakistan,2006-08-15
1023,Bangladesh,2006-08-15
1022,India,2006-08-15
1013,Australia,2006-08-15
1006,West Indies,2006-08-15
1005,Ireland,2006-08-15
1005,Canada,2006-08-15
1002,Italy,2006-08-15
1001,Nepal,2006-08-15
1001,Papua New Guinea,2006-08-15
1001,Bahrain,2006-08-15
1001,Kuwait,2006-08-15
1001,Qatar,2006-08-15
1001,Spain,2006-08-15
1001,Belize,2006-08-15
1001,Germany,2006-08-15
1001,Namibia,2006-08-15
1001,Uganda,2006-08-15
1001,Jersey,2006-08-15
1001,Malaysia,2006-08-15
1001,Singapore,2006-08-15
1001,Romania,2006-08-15
1001,Luxembourg,2006-08-15
1001,Argentina,2006-08-15
1001,Peru,2006-08-15
1001,Bulgaria,2006-08-15
1001,Greece,2006-08-15
1001,Malawi,2006-08-15
