ground_id,ground,country,continent,latitude,longitude
613,"Clontarf Cricket Club Ground, Dublin",Ireland,Europe,0.000000,0.000000
832,Pietersburg Cricket Club A Ground,South Africa,Africa,,
988,"Ropery Lane, Chester-le-Street",England,Europe,,
728,Pagham Cricket Club Ground,England,Europe,,
2252,"St Stithian's College Ground, Johannesburg",South Africa,Africa,0.000000,0.000000
2655,"Star Inn, Coxheath",England,Europe,0.000000,0.000000
2514,Kibworth Cricket Club New Ground,England,Europe,,
613,"Castle Avenue, Dublin",Ireland,Europe,0.000000,0.000000
2097,"Lambert Park, Estcourt",South Africa,Africa,,
755,"Logan Park, Dunedin",New Zealand,Oceania,-45.865406,170.523666
2596,Stellenbosch University 3,South Africa,Africa,0.000000,0.000000
3187,"Minute Maid Park, Houston",United States of America,Americas,0.000000,0.000000
1606,"Diamond Community Ground, Georgetown, Guyana",West Indies,Americas,,
2867,"Bay Oval No2, Mount Maunganui",New Zealand,Oceania,0.000000,0.000000
1407,"Carlisle Cricket Club Ground, Dublin",Ireland,Europe,,
2598,"West Lodge Park, Desborough",England,Europe,0.000000,0.000000
3473,Udayana Cricket Ground,Indonesia,Asia,0.000000,0.000000
2750,"Varsity Oval, Pietermaritzburg",South Africa,Africa,0.000000,0.000000
824,"Nahar Singh Stadium, Faridabad",India,Asia,28.387247,77.295631
1941,Gerrards Cross Cricket Club Ground,England,Europe,,
2128,"Golf Club Ground, Nasik",India,Asia,0.000000,0.000000
881,"Boon Wallace Oval, Cape Town",South Africa,Africa,,
910,"Indira Priyadarshini Stadium, Visakhapatnam",India,Asia,17.704687,83.294930
1304,"London Road, High Wycombe",England,Europe,0.000000,0.000000
1698,"Grainville, St Saviour",Jersey,Europe,,
1545,"Maple Leaf North-West Ground, Toronto",Canada,Americas,,
2606,Shrewsbury School,England,Europe,0.000000,0.000000
844,"Municipal Stadium, Gujranwala",Pakistan,Asia,32.163544,74.191055
1954,"Azaadville Oval, Azaadville, Johannesburg",South Africa,Africa,,
382,"Rowden Road, Wells",England,Europe,,
239,"May's Bounty, Basingstoke",England,Europe,,
2714,"Tolerance Oval, Abu Dhabi",United Arab Emirates,Asia,0.000000,0.000000
1164,"Place of Water, Ntselamanzi, Alice",South Africa,Africa,,
3474,Ayobi Cricket Stadium,Afghanistan,Asia,0.000000,0.000000
902,Centurion Park,South Africa,Africa,-25.860279,28.195490
1379,"Grahame Park, Gosford",Australia,Oceania,,
2977,Alokozay Kabul International Cricket Ground,Afghanistan,Asia,34.515228,69.198097
2093,"Elfindale, Cape Town",South Africa,Africa,,
2025,"Shere Bangla National Stadium, Mirpur",Bangladesh,Asia,23.807339,90.363380
376,"Fateh Maidan, Hyderabad, Deccan",India,Asia,17.399403,78.474060
1538,"Margalla Ground, Islamabad",Pakistan,Asia,,
951,"Eastern Oval, Ballarat",Australia,Oceania,-37.557732,143.863525
905,"Bellerive Oval, Hobart",Australia,Oceania,-42.877167,147.373779
1444,"Rubber Research Institute, Kuala Lumpur",Malaysia,Asia,,
1116,"Kelab Aman, Kuala Lumpur",Malaysia,Asia,,
2401,"Khandheri Cricket Stadium, Rajkot",India,Asia,22.363312,70.709641
352,"Griff and Coton Ground, Nuneaton",England,Europe,,
176,"The Royal & Sun Alliance County Ground, Bristol",England,Europe,51.477051,-2.584355
979,"Witrand Cricket Field, Potchefstroom",South Africa,Africa,,
1059,Nairobi Club Ground,Kenya,Africa,,
1956,"St John's College Ground, Johannesburg",South Africa,Africa,0.000000,0.000000
803,"Chedwin Park, Spanish Town, Jamaica",West Indies,Americas,,
1965,"Sheikh Zayed Stadium, Abu Dhabi",United Arab Emirates,Asia,24.396555,54.540749
2871,"Sheikh Kamal International Cricket Stadium, Cox's Bazar",Bangladesh,Asia,0.000000,0.000000
1903,"Sir Ali Muslim Club Ground, Nairobi",Kenya,Africa,,
2835,"Hurlingham Club Cricket Ground, Fulham",England,Europe,0.000000,0.000000
243,"Berea Park, Pretoria",South Africa,Africa,,
1557,Comilla Stadium,Bangladesh,Asia,,
259,"North Inch, Perth",England,Europe,,
856,"Jayanti Stadium, Bhilai",India,Asia,,
3375,Arons Cricket Club Ground,Sri Lanka,Asia,0.000000,0.000000
3356,"Potchefstroom Boys High School, B Ground",South Africa,Africa,0.000000,0.000000
2505,"King Edward VII School Ground, Johannesburg",South Africa,Africa,,
1510,Watford Town Cricket Club Ground,England,Europe,,
2666,"Racecourse Ground, Swaffham",England,Europe,0.000000,0.000000
2885,"University of Johannesburg, Soweto",South Africa,Africa,-26.260263,27.918953
203,"Manor Ground, Bexhill-on-Sea",England,Europe,,
2602,"Marske Cricket Club Ground, Marske-by-the-Sea",England,Europe,0.000000,0.000000
1341,"Jamia Millia Cricket Ground, Delhi",India,Asia,,
421,"Abbeydale Park, Sheffield",England,Europe,,
273,"Bath Grounds, Ashby-de-la-Zouch",England,Europe,,
498,"Hesketh Park, Dartford",England,Europe,,
1992,"The Vineyard, Dublin",Ireland,Europe,,
355,"Mannofield Park, Aberdeen",Scotland,Europe,,
1476,"Hardenhuish Park, Chippenham",England,Europe,,
707,"Police Park Ground, Colombo",Sri Lanka,Asia,,
509,"Imperial Athletic Ground, Bristol",England,Europe,,
3531,Sree Lakshmi Narayana Institute of Medical Sciences Cricket Ground,India,Asia,0.000000,0.000000
903,"University of Orange Free State Ground, Bloemfontein",South Africa,Africa,-29.108419,26.176756
2526,"Rashid Latif Cricket Academy Ground, Karachi",Pakistan,Asia,,
1171,"FTZ Sports Complex, Katunayake",Sri Lanka,Asia,0.000000,0.000000
3469,"Fapla International Cricket Ground, Dhangadi",Nepal,Asia,0.000000,0.000000
495,Sargodha Stadium,Pakistan,Asia,32.077007,72.685669
2220,"Woolpit Sports Field, Bury St Edmunds",England,Europe,,
2027,"Walter Milton Oval, University of Witwatersrand, Johannesburg",South Africa,Africa,,
1413,"Rosalie Park, Perth",Australia,Oceania,,
1654,Kowloon Cricket Club,Hong Kong,Asia,0.000000,0.000000
3505,Tanush Academy Ground,India,Asia,0.000000,0.000000
375,"Gujarat College Ground, Ahmedabad",India,Asia,23.040813,72.540222
2518,"Foursquare Oval, St Philip, Barbados",West Indies,Americas,,
1556,"Abdur Rab Serniabad Stadium, Barisal",Bangladesh,Asia,,
238,Fremantle Oval,Australia,Oceania,-32.056110,115.751244
932,"Nunholm, Dumfries",Scotland,Europe,,
1486,Horton House Cricket Club Ground,England,Europe,0.000000,0.000000
1251,"South Northumberland Cricket Club, Gosforth",England,Europe,,
1168,Waikanae Park,New Zealand,Oceania,,
2671,"Louis Small Oval, Kraaifontein",South Africa,Africa,0.000000,0.000000
1904,"Takashinga Sports Club, Highfield, Harare",Zimbabwe,Africa,,
2170,"Lord's Cricket Ground, Benoni",South Africa,Africa,,
2945,"KSCA Cricket (3) Ground, Alur",India,Asia,0.000000,0.000000
213,"Western Australia Cricket Association Ground, Perth",Australia,Oceania,-31.959843,115.879799
261,"Queens Sports Club, Bulawayo",Zimbabwe,Africa,-20.144848,28.588896
1403,"Melbourne Grammar School, Melbourne",Australia,Oceania,,
1555,"Tata Energy Research Institute Oval, Gurgaon",India,Asia,,
200,"Sabina Park, Kingston, Jamaica",West Indies,Americas,17.978214,-76.782532
2837,"Sheikh Zayed Stadium Nursery 2, Abu Dhabi",United Arab Emirates,Asia,0.000000,0.000000
646,"Dr Rajendra Prasad Stadium, Margao",India,Asia,,
2393,Durbanville Cricket Club,South Africa,Africa,,
1629,Finchampstead Cricket Club,England,Europe,0.000000,0.000000
151,"United Services Recreation Ground, Portsmouth",England,Europe,,
1865,"Mount Gay North Stars, Crab Hill, Barbados",West Indies,Americas,,
315,"Forthill, Dundee",Scotland,Europe,0.000000,0.000000
271,"Hamilton Crescent, Glasgow",Scotland,Europe,,
1475,"Amy Lane, Chesham",England,Europe,,
1640,"Chisholm Oval, Canberra",Australia,Oceania,,
176,"Fry's Ground, Bristol",England,Europe,51.477051,-2.584355
677,"Nehru Stadium, Hubli",India,Asia,,
1509,"Walton Lea Road, High Walton, Warrington",England,Europe,,
1389,"King's College Oval, Adelaide",Australia,Oceania,,
854,"Indira Gandhi Stadium, Vijayawada",India,Asia,16.505503,80.637901
343,Colwyn Bay Cricket Club Ground,England,Europe,,
724,"Eden Park No 2, Auckland",New Zealand,Oceania,-36.874763,174.744598
309,"Green Point, Cape Town",South Africa,Africa,,
906,"Town Ground, Heanor",England,Europe,,
2685,"Ropa Valley No 1 Ground, Corfu",Greece,Europe,0.000000,0.000000
2226,"Army Ground, Panagoda",Sri Lanka,Asia,,
2211,"Willowmoore Park B Field, Benoni",South Africa,Africa,0.000000,0.000000
3303,"Burnopfield Cricket Club Ground, Burnopfield",England,Europe,0.000000,0.000000
683,"M Chinnaswamy Stadium, Bangalore",India,Asia,12.978806,77.599556
445,"Fitzherbert Park, Palmerston North",New Zealand,Oceania,-40.370262,175.620453
974,"The Village, Malahide, Dublin",Ireland,Europe,53.448883,-6.160244
2995,"Jadavpur University Campus 2nd Ground, Kolkata",India,Asia,22.497585,88.372147
3255,"Selborne High School No 1 Ground, East London",South Africa,Africa,0.000000,0.000000
132,"Association Ground, Sydney",Australia,Oceania,-33.891434,151.223465
3496,"El Cortijo Polo Club Pitch A Ground, Lima",Peru,Americas,0.000000,0.000000
1277,"National Bank of Pakistan Sports Complex, Karachi",Pakistan,Asia,24.811417,67.031906
2667,"Bangladesh Krira Shikkha Protisthan No 3 Ground, Savar",Bangladesh,Asia,23.989716,90.247787
485,Karachi Parsi Institute Ground,Pakistan,Asia,,
176,"Phoenix County Ground, Bristol",England,Europe,51.477051,-2.584355
2033,"Dr Ambedkar Stadium, Lucknow",India,Asia,,
2711,"Blackstone Cricket Club Ground, No1 Pitch",England,Europe,0.000000,0.000000
427,Wellingborough School Ground,England,Europe,,
173,"St George's Park, Port Elizabeth",South Africa,Africa,-33.966995,25.609888
3327,"Gardet, Stockholm",Sweden,Europe,0.000000,0.000000
2581,"Capricorn High School, Polokwane",South Africa,Africa,0.000000,0.000000
3439,Gahanga International Cricket Stadium. Rwanda,Rwanda,Africa,0.000000,0.000000
1297,"Ottermouth, Budleigh Salterton",England,Europe,,
1165,"Hatherley and Reddings Cricket Club Ground, Cheltenham",England,Europe,,
2763,"Northwood Boys High School, Durban",South Africa,Africa,0.000000,0.000000
152,"Jade Stadium, Christchurch",New Zealand,Oceania,-43.541943,172.654282
683,"Karnataka State Cricket Association Stadium, Bangalore",India,Asia,12.978806,77.599556
2118,"Jaffery Sports Club Ground, Nairobi",Kenya,Africa,,
2437,"Bottom Oval, Wanderers Club",South Africa,Africa,0.000000,0.000000
415,"Minto Park, Lahore",India,Asia,,
2128,"Anant Kanhere Maidan, Nasik",India,Asia,0.000000,0.000000
2371,"Diamond Ground, Cardiff",England,Europe,,
120,"North Marine Road Ground, Scarborough",England,Europe,54.288342,-0.405773
674,"National Stadium, Hamilton",Bermuda,Americas,,
1414,Mikkelberg-Kunst-und-Cricket Center,Germany,Europe,,
3045,"Lilac Crescent, Burnopfield",England,Europe,0.000000,0.000000
2192,"Farmers Cricket Club Ground, St Martin",Jersey,Europe,0.000000,0.000000
2121,Cresselly Cricket Club Ground,England,Europe,,
2595,"Victoria Park High School, Port Elizabeth",South Africa,Africa,0.000000,0.000000
1192,"Priory Meadow, Hastings",England,Europe,,
978,"PAM Brink Stadium, Springs",South Africa,Africa,,
33,"Phillip's Field, Bromley",England,Europe,,
560,"Sports Stadium, Civil Lines, Meerut",India,Asia,,
1675,"Stanford Cricket Ground, Coolidge, Antigua",West Indies,Americas,0.000000,0.000000
2004,"Orban Park, Johannesburg",South Africa,Africa,,
547,"Antigua Recreation Ground, St John's, Antigua",West Indies,Americas,17.122503,-61.838921
504,"Trust Bank Park, Hamilton",New Zealand,Oceania,-37.786697,175.274292
1284,"Bothwell Castle, Uddingston",Scotland,Europe,0.000000,0.000000
1768,"Het Loopveld, Amstelveen",Netherlands,Europe,,
342,"Civil Service Sports Ground, Chiswick",England,Europe,,
1303,"Victory Ground, Nowton Road, Bury St Edmunds",England,Europe,0.000000,0.000000
1206,"Memorial Ground, Finchampstead",England,Europe,,
1050,Soweto Cricket Oval,South Africa,Africa,0.000000,0.000000
1386,"King George V Oval, Hobart",Australia,Oceania,-42.831089,147.277359
934,"Burgher Recreation Club Ground, Colombo",Sri Lanka,Asia,,
767,"Molyneux Park, Alexandra",New Zealand,Oceania,-45.242779,169.384308
322,"Rutland Recreation Ground, Ilkeston",England,Europe,,
134,"Christ Church College Ground, Oxford",England,Europe,,
1844,"Fatullah Khan Saheb Osmani Stadium, Fatullah",Bangladesh,Asia,23.627781,90.493126
3366,"Christian Brothers College B Field, Benoni",South Africa,Africa,0.000000,0.000000
1563,"Cricket Garden, Rangpur",Bangladesh,Asia,,
3370,"CBC 1, Bloemfontein",South Africa,Africa,0.000000,0.000000
335,"Ormeau, Belfast",Ireland,Europe,,
2407,"Central Broward Regional Park Stadium Artificial Ground, Lauderhill",United States of America,Americas,0.000000,0.000000
1882,Ombersley Cricket Club Ground,England,Europe,,
1985,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,Americas,17.103361,-61.784950
3247,"Coslett Oval, Grace College, Hilton",South Africa,Africa,0.000000,0.000000
1936,"Hazelaarweg, Rotterdam",Netherlands,Europe,,
3403,"KSCA Navule Stadium, Shimoga",India,Asia,0.000000,0.000000
993,"Jawaharlal Nehru Stadium, Ghaziabad",India,Asia,,
3434,"The Leaze, Wimborne",England,Europe,0.000000,0.000000
191,Poona Gymkhana Ground,India,Asia,18.517012,73.839355
2706,"North West Tasmania Cricket Association Ground, Burnie",Australia,Oceania,0.000000,0.000000
1405,"Trinity College, Dublin",Ireland,Europe,,
454,"Dring Stadium, Bahawalpur",Pakistan,Asia,29.404522,71.684395
868,"Barkatullah Khan Stadium, Jodhpur",India,Asia,26.273842,73.001038
396,"Ind Coope Ground, Burton-on-Trent",England,Europe,,
1167,"Blake Park, Mount Maunganui",New Zealand,Oceania,-37.652794,176.190704
2641,Windhoek High School,Namibia,Africa,0.000000,0.000000
1668,"Central Reserve, Melbourne",Australia,Oceania,,
2704,"Sir Lionel Phillips Ground, Pirates Cricket Club, Greenside, Johannesburg",South Africa,Africa,0.000000,0.000000
3492,"CAA Centre, Brampton",Canada,Americas,0.000000,0.000000
446,"Pukekura Park, New Plymouth",New Zealand,Oceania,-39.062828,174.079315
2676,"Somerset College, Somerset West",South Africa,Africa,0.000000,0.000000
2636,"Khaya Majola Oval, Mthatha",South Africa,Africa,0.000000,0.000000
2137,"Lanion Hall Cricket Club, Nelspruit",South Africa,Africa,,
965,Berri Oval,Australia,Oceania,-34.847271,138.700302
2473,Mechelen Cricket Club Ground,Belgium,Europe,,
458,"Union Ground, St George's Park, Port Elizabeth",South Africa,Africa,-33.966450,25.610176
744,"RJE Burt Oval, Cape Town",South Africa,Africa,,
804,"Kayman Sankar Cricket Ground, Hampton Court, Guyana",West Indies,Americas,,
959,"Defence Cricket Stadium, Karachi",Pakistan,Asia,24.809628,67.068336
2115,"Sandhills, Instow",England,Europe,0.000000,0.000000
558,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",India,Asia,23.042414,72.564384
2484,"TI Cycles Ground, Murugappa, Chennai",India,Asia,13.126188,80.114609
860,"Centennial Park, Oamaru",New Zealand,Oceania,-45.070099,170.983963
1158,"Harbax Singh Stadium, Delhi",India,Asia,,
2212,"Willowmoore Park C Field, Benoni",South Africa,Africa,0.000000,0.000000
1287,"Sonning Lane, Reading",England,Europe,0.000000,0.000000
2527,"Sardar Patel Stadium C Ground, Motera, Ahmedabad",India,Asia,,
749,"Chatrapati Shivaji Stadium, Karad",India,Asia,,
1003,"Tshwane University of Technology Oval, Pretoria",South Africa,Africa,,
2841,"St Peter's School, Cambridge",New Zealand,Oceania,-37.889221,175.431946
1977,"Schoemans Field, East London",South Africa,Africa,,
40,"Higher Common Ground, Tunbridge Wells",England,Europe,,
1650,"Gliderol Stadium, Adelaide",Australia,Oceania,-34.983349,138.521805
3209,"Mitchell Field, St. John's College, Johannesburg",South Africa,Africa,0.000000,0.000000
808,"Country Golf Club Ground, Faridabad",India,Asia,,
943,"Polytechnic Institute Ground, Agartala",India,Asia,0.000000,0.000000
1320,"Laag Zestienhoven, Rotterdam",Netherlands,Europe,,
1566,"DS Senanayake College Ground, Colombo",Sri Lanka,Asia,,
1628,"Gore Court, Sittingbourne",England,Europe,,
2326,"Mervyn G Hughes Oval, Melbourne",Australia,Oceania,,
1201,"War Memorial Ground, Bulpit Lane, Hungerford",England,Europe,,
1503,"Clarence Park, St Albans",England,Europe,,
1173,"Kadirana Cricket Grounds, Gampaha",Sri Lanka,Asia,,
3479,Egloshayle Road,England,Europe,0.000000,0.000000
2370,"Topsham Sports Ground, Exeter University",England,Europe,,
1738,"Lohnu Cricket Ground, Bilaspur",India,Asia,31.346622,76.755394
