team1,team1_id,team2,team2_id,win_toss,bat_or_bowl,outcome,win_game,month,year,start_date,end_date,day/night,country,ground,match_id,type_of_match,match_type_id,home_team_id,first_innings_runs,first_innings_batting_team,url
Surrey,1409,Durham,975,1409,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"Kennington Oval, London",946821,First-class,4,1409,457,Durham,http://www.espncricinfo.com/matches/engine/match/946821.html
Somerset,1384,Lancashire,1167,1167,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"County Ground, Taunton",946823,First-class,4,1384,493,Lancashire,http://www.espncricinfo.com/matches/engine/match/946823.html
Hampshire,1102,Middlesex,1241,1241,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"The Rose Bowl, Southampton",946825,First-class,4,1102,336,Middlesex,http://www.espncricinfo.com/matches/engine/match/946825.html
Nottinghamshire,1282,Yorkshire,1515,1515,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"Trent Bridge, Nottingham",946827,First-class,4,1282,261,Yorkshire,http://www.espncricinfo.com/matches/engine/match/946827.html
Northamptonshire,1272,Derbyshire,955,955,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"County Ground, Northampton",946967,First-class,4,1272,324,Derbyshire,http://www.espncricinfo.com/matches/engine/match/946967.html
Worcestershire,1509,Essex,1035,1035,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"County Ground, New Road, Worcester",946969,First-class,4,1509,451,Essex,http://www.espncricinfo.com/matches/engine/match/946969.html
Kent,1149,Glamorgan,1080,1080,,Kent won by 10 wickets,1149,5,2016,5/1/16,5/4/16,day match,England,"St Lawrence Ground, Canterbury",946971,First-class,4,1149,260,Glamorgan,http://www.espncricinfo.com/matches/engine/match/946971.html
Sussex,1422,Leicestershire,1184,1422,,Match drawn,0,5,2016,5/1/16,5/4/16,day match,England,"County Ground, Hove",946973,First-class,4,1422,163,Leicestershire,http://www.espncricinfo.com/matches/engine/match/946973.html
Durham,975,Middlesex,1241,1241,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"Riverside Ground, Chester-le-Street",946815,First-class,4,975,389,Middlesex,http://www.espncricinfo.com/matches/engine/match/946815.html
Surrey,1409,Somerset,1384,1409,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"Kennington Oval, London",946817,First-class,4,1409,463,Somerset,http://www.espncricinfo.com/matches/engine/match/946817.html
Warwickshire,1479,Yorkshire,1515,1515,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"Edgbaston, Birmingham",946819,First-class,4,1479,379,Yorkshire,http://www.espncricinfo.com/matches/engine/match/946819.html
Derbyshire,955,Glamorgan,1080,1080,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"County Ground, Derby",946959,First-class,4,955,377,Glamorgan,http://www.espncricinfo.com/matches/engine/match/946959.html
Leicestershire,1184,Kent,1149,1149,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"Grace Road, Leicester",946961,First-class,4,1184,264,Kent,http://www.espncricinfo.com/matches/engine/match/946961.html
Essex,1035,Northamptonshire,1272,1272,,Essex won by an innings and 92 runs,1035,4,2016,4/24/16,4/27/16,day match,England,"County Ground, Chelmsford",946963,First-class,4,1035,441,Northamptonshire,http://www.espncricinfo.com/matches/engine/match/946963.html
Gloucestershire,1085,Worcestershire,1509,1509,,Match drawn,0,4,2016,4/24/16,4/27/16,day match,England,"County Ground, Bristol",946965,First-class,4,1085,380,Worcestershire,http://www.espncricinfo.com/matches/engine/match/946965.html
Yorkshire,1515,Hampshire,1102,1102,,Match drawn,0,4,2016,4/17/16,4/20/16,day match,England,"Headingley, Leeds",946809,First-class,4,1515,593,Hampshire,http://www.espncricinfo.com/matches/engine/match/946809.html
Lancashire,1167,Nottinghamshire,1282,1282,,Lancashire won by 8 wickets,1167,4,2016,4/17/16,4/20/16,day match,England,"Old Trafford, Manchester",946811,First-class,4,1167,242,Nottinghamshire,http://www.espncricinfo.com/matches/engine/match/946811.html
Middlesex,1241,Warwickshire,1479,1479,,Match drawn,0,4,2016,4/17/16,4/20/16,day match,England,"Lord's, London",946813,First-class,4,1241,452,Warwickshire,http://www.espncricinfo.com/matches/engine/match/946813.html
Gloucestershire,1085,Derbyshire,955,955,,Match drawn,0,4,2016,4/17/16,4/20/16,day match,England,"County Ground, Bristol",946953,First-class,4,1085,444,Derbyshire,http://www.espncricinfo.com/matches/engine/match/946953.html
Sussex,1422,Essex,1035,1422,,Match drawn,0,4,2016,4/17/16,4/20/16,day match,England,"County Ground, Hove",946955,First-class,4,1422,360,Essex,http://www.espncricinfo.com/matches/engine/match/946955.html
Glamorgan,1080,Leicestershire,1184,1080,,Leicestershire won by 10 wickets,1184,4,2016,4/17/16,4/20/16,day match,England,"Sophia Gardens, Cardiff",946957,First-class,4,1080,348,Leicestershire,http://www.espncricinfo.com/matches/engine/match/946957.html
Durham,975,Somerset,1384,1384,,Match drawn,0,4,2016,4/10/16,4/13/16,day match,England,"Riverside Ground, Chester-le-Street",946803,First-class,4,975,256,Somerset,http://www.espncricinfo.com/matches/engine/match/946803.html
Nottinghamshire,1282,Surrey,1409,1409,,Nottinghamshire won by 3 wickets,1282,4,2016,4/10/16,4/13/16,day match,England,"Trent Bridge, Nottingham",946805,First-class,4,1282,446,Surrey,http://www.espncricinfo.com/matches/engine/match/946805.html
Hampshire,1102,Warwickshire,1479,1479,,Match drawn,0,4,2016,4/10/16,4/13/16,day match,England,"The Rose Bowl, Southampton",946807,First-class,4,1102,202,Warwickshire,http://www.espncricinfo.com/matches/engine/match/946807.html
Essex,1035,Gloucestershire,1085,1085,,Essex won by 10 wickets,1035,4,2016,4/10/16,4/13/16,day match,England,"County Ground, Chelmsford",946947,First-class,4,1035,262,Gloucestershire,http://www.espncricinfo.com/matches/engine/match/946947.html
Northamptonshire,1272,Sussex,1422,1422,,Match drawn,0,4,2016,4/10/16,4/13/16,day match,England,"County Ground, Northampton",946951,First-class,4,1272,481,Sussex,http://www.espncricinfo.com/matches/engine/match/946951.html
Nottinghamshire,1282,Hampshire,1102,1102,field,Hampshire won by 8 wickets,1102,9,2015,9/22/15,9/25/15,day match,England,"Trent Bridge, Nottingham",804295,First-class,4,1282,340,Hampshire,http://www.espncricinfo.com/matches/engine/match/804295.html
Somerset,1384,Warwickshire,1479,1384,bat,Somerset won by 17 runs,1384,9,2015,9/22/15,9/25/15,day match,England,"County Ground, Taunton",804297,First-class,4,1384,438,Warwickshire,http://www.espncricinfo.com/matches/engine/match/804297.html
Worcestershire,1509,Middlesex,1241,1509,field,Worcestershire won by an innings and 128 runs,1509,9,2015,9/22/15,9/24/15,day match,England,"County Ground, New Road, Worcester",804299,First-class,4,1509,98,Middlesex,http://www.espncricinfo.com/matches/engine/match/804299.html
Yorkshire,1515,Sussex,1422,1422,field,Yorkshire won by 100 runs,1515,9,2015,9/22/15,9/25/15,day match,England,"Headingley, Leeds",804301,First-class,4,1515,251,Sussex,http://www.espncricinfo.com/matches/engine/match/804301.html
Derbyshire,955,Leicestershire,1184,955,field,Match drawn,0,9,2015,9/22/15,9/25/15,day match,England,"County Ground, Derby",804439,First-class,4,955,329,Leicestershire,http://www.espncricinfo.com/matches/engine/match/804439.html
Essex,1035,Lancashire,1167,1167,field,Match drawn,0,9,2015,9/22/15,9/25/15,day match,England,"County Ground, Chelmsford",804441,First-class,4,1035,394,Lancashire,http://www.espncricinfo.com/matches/engine/match/804441.html
Gloucestershire,1085,Glamorgan,1080,1080,bat,Match drawn,0,9,2015,9/22/15,9/25/15,day match,England,"County Ground, Bristol",804443,First-class,4,1085,433,Glamorgan,http://www.espncricinfo.com/matches/engine/match/804443.html
Surrey,1409,Northamptonshire,1272,1409,bat,Match drawn,0,9,2015,9/22/15,9/25/15,day match,England,"Kennington Oval, London",804445,First-class,4,1409,410,Northamptonshire,http://www.espncricinfo.com/matches/engine/match/804445.html
Durham,975,Worcestershire,1509,975,field,Durham won by 3 wickets,975,9,2015,9/14/15,9/17/15,day match,England,"Riverside Ground, Chester-le-Street",804287,First-class,4,975,350,Worcestershire,http://www.espncricinfo.com/matches/engine/match/804287.html
Hampshire,1102,Yorkshire,1515,1515,field,Yorkshire won by 5 wickets,1515,9,2015,9/14/15,9/17/15,day match,England,"The Rose Bowl, Southampton",804289,First-class,4,1102,400,Yorkshire,http://www.espncricinfo.com/matches/engine/match/804289.html
Sussex,1422,Somerset,1384,1422,bat,Match drawn,0,9,2015,9/14/15,9/17/15,day match,England,"County Ground, Hove",804291,First-class,4,1422,409,Somerset,http://www.espncricinfo.com/matches/engine/match/804291.html
Warwickshire,1479,Nottinghamshire,1282,1479,field,Match drawn,0,9,2015,9/14/15,9/17/15,day match,England,"Edgbaston, Birmingham",804293,First-class,4,1479,365,Nottinghamshire,http://www.espncricinfo.com/matches/engine/match/804293.html
Kent,1149,Gloucestershire,1085,1085,field,Match drawn,0,9,2015,9/14/15,9/17/15,day match,England,"St Lawrence Ground, Canterbury",804431,First-class,4,1149,67,Gloucestershire,http://www.espncricinfo.com/matches/engine/match/804431.html
Lancashire,1167,Surrey,1409,1409,bat,Match drawn,0,9,2015,9/14/15,9/17/15,day match,England,"Old Trafford, Manchester",804433,First-class,4,1167,480,Surrey,http://www.espncricinfo.com/matches/engine/match/804433.html
Leicestershire,1184,Essex,1035,1035,field,Essex won by 5 wickets,1035,9,2015,9/14/15,9/17/15,day match,England,"Grace Road, Leicester",804435,First-class,4,1184,251,Essex,http://www.espncricinfo.com/matches/engine/match/804435.html
Northamptonshire,1272,Glamorgan,1080,1272,field,Match drawn,0,9,2015,9/14/15,9/17/15,day match,England,"County Ground, Northampton",804437,First-class,4,1272,233,Glamorgan,http://www.espncricinfo.com/matches/engine/match/804437.html
Middlesex,1241,Yorkshire,1515,1515,field,Middlesex won by 246 runs,1241,9,2015,9/9/15,9/12/15,day match,England,"Lord's, London",804281,First-class,4,1241,106,Yorkshire,http://www.espncricinfo.com/matches/engine/match/804281.html
Nottinghamshire,1282,Durham,975,975,field,Nottinghamshire won by 52 runs,1282,9,2015,9/9/15,9/11/15,day match,England,"Trent Bridge, Nottingham",804283,First-class,4,1282,204,Durham,http://www.espncricinfo.com/matches/engine/match/804283.html
Somerset,1384,Hampshire,1102,1384,field,Match drawn,0,9,2015,9/9/15,9/12/15,day match,England,"County Ground, Taunton",804285,First-class,4,1384,240,Hampshire,http://www.espncricinfo.com/matches/engine/match/804285.html
Derbyshire,955,Essex,1035,955,field,Essex won by an innings and 188 runs,1035,9,2015,9/9/15,9/11/15,day match,England,"County Ground, Derby",804427,First-class,4,955,464,Essex,http://www.espncricinfo.com/matches/engine/match/804427.html
Glamorgan,1080,Kent,1149,1149,bat,Kent won by 316 runs,1149,9,2015,9/9/15,9/12/15,day match,England,"Sophia Gardens, Cardiff",804429,First-class,4,1080,309,Kent,http://www.espncricinfo.com/matches/engine/match/804429.html
Durham,975,Hampshire,1102,975,bat,Hampshire won by 7 wickets,1102,9,2015,9/1/15,9/3/15,day match,England,"Riverside Ground, Chester-le-Street",804273,First-class,4,975,213,Hampshire,http://www.espncricinfo.com/matches/engine/match/804273.html
Warwickshire,1479,Middlesex,1241,1241,bat,Match drawn,0,9,2015,9/1/15,9/4/15,day match,England,"Edgbaston, Birmingham",804275,First-class,4,1479,207,Middlesex,http://www.espncricinfo.com/matches/engine/match/804275.html
Worcestershire,1509,Sussex,1422,1509,bat,Sussex won by an innings and 63 runs,1422,9,2015,9/1/15,9/4/15,day match,England,"County Ground, New Road, Worcester",804277,First-class,4,1509,210,Sussex,http://www.espncricinfo.com/matches/engine/match/804277.html
Yorkshire,1515,Somerset,1384,1515,field,Yorkshire won by an innings and 126 runs,1515,9,2015,9/1/15,9/3/15,day match,England,"Headingley, Leeds",804279,First-class,4,1515,110,Somerset,http://www.espncricinfo.com/matches/engine/match/804279.html
Essex,1035,Northamptonshire,1272,1272,field,Match drawn,0,9,2015,9/1/15,9/4/15,day match,England,"County Ground, Chelmsford",804419,First-class,4,1035,360,Northamptonshire,http://www.espncricinfo.com/matches/engine/match/804419.html
Kent,1149,Lancashire,1167,1167,field,Match drawn,0,9,2015,9/1/15,9/4/15,day match,England,"St Lawrence Ground, Canterbury",804421,First-class,4,1149,570,Lancashire,http://www.espncricinfo.com/matches/engine/match/804421.html
Leicestershire,1184,Gloucestershire,1085,1085,field,Match drawn,0,9,2015,9/1/15,9/4/15,day match,England,"Grace Road, Leicester",804423,First-class,4,1184,415,Gloucestershire,http://www.espncricinfo.com/matches/engine/match/804423.html
Surrey,1409,Derbyshire,955,955,bat,Surrey won by an innings and 98 runs,1409,9,2015,9/1/15,9/4/15,day match,England,"Kennington Oval, London",804425,First-class,4,1409,313,Derbyshire,http://www.espncricinfo.com/matches/engine/match/804425.html
Durham,975,Middlesex,1241,975,field,Middlesex won by 71 runs,1241,8,2015,8/21/15,8/24/15,day match,England,"Riverside Ground, Chester-le-Street",804265,First-class,4,975,196,Middlesex,http://www.espncricinfo.com/matches/engine/match/804265.html
Nottinghamshire,1282,Warwickshire,1479,1479,field,Nottinghamshire won by an innings and 123 runs,1282,8,2015,8/21/15,8/24/15,day match,England,"Trent Bridge, Nottingham",804267,First-class,4,1282,600,Warwickshire,http://www.espncricinfo.com/matches/engine/match/804267.html
Somerset,1384,Worcestershire,1509,1509,field,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"County Ground, Taunton",804269,First-class,4,1384,565,Worcestershire,http://www.espncricinfo.com/matches/engine/match/804269.html
Sussex,1422,Yorkshire,1515,1515,bat,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"County Ground, Hove",804271,First-class,4,1422,494,Yorkshire,http://www.espncricinfo.com/matches/engine/match/804271.html
Derbyshire,955,Kent,1149,1149,field,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"County Ground, Derby",804411,First-class,4,955,253,Kent,http://www.espncricinfo.com/matches/engine/match/804411.html
Gloucestershire,1085,Surrey,1409,1409,field,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"County Ground, Bristol",804413,First-class,4,1085,233,Surrey,http://www.espncricinfo.com/matches/engine/match/804413.html
Lancashire,1167,Glamorgan,1080,1167,bat,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"Old Trafford, Manchester",804415,First-class,4,1167,462,Glamorgan,http://www.espncricinfo.com/matches/engine/match/804415.html
Northamptonshire,1272,Leicestershire,1184,1184,field,Match drawn,0,8,2015,8/21/15,8/24/15,day match,England,"County Ground, Northampton",804417,First-class,4,1272,325,Leicestershire,http://www.espncricinfo.com/matches/engine/match/804417.html
Hampshire,1102,Warwickshire,1479,1102,bat,Hampshire won by 216 runs,1102,8,2015,8/7/15,8/10/15,day match,England,"The Rose Bowl, Southampton",804257,First-class,4,1102,285,Warwickshire,http://www.espncricinfo.com/matches/engine/match/804257.html
Middlesex,1241,Sussex,1422,1241,bat,Middlesex won by 20 runs,1241,8,2015,8/7/15,8/10/15,day match,England,"Lord's, London",804259,First-class,4,1241,234,Sussex,http://www.espncricinfo.com/matches/engine/match/804259.html
Worcestershire,1509,Nottinghamshire,1282,1509,bat,Nottinghamshire won by 5 wickets,1282,8,2015,8/7/15,8/10/15,day match,England,"County Ground, New Road, Worcester",804261,First-class,4,1509,269,Nottinghamshire,http://www.espncricinfo.com/matches/engine/match/804261.html
Yorkshire,1515,Durham,975,1515,bat,Yorkshire won by 183 runs,1515,8,2015,8/7/15,8/9/15,day match,England,"North Marine Road Ground, Scarborough",804263,First-class,4,1515,162,Durham,http://www.espncricinfo.com/matches/engine/match/804263.html
Essex,1035,Surrey,1409,1035,bat,Surrey won by 3 wickets,1409,8,2015,8/7/15,8/10/15,day match,England,"Castle Park Cricket Ground, Colchester",804407,First-class,4,1035,369,Surrey,http://www.espncricinfo.com/matches/engine/match/804407.html
Leicestershire,1184,Derbyshire,955,1184,field,Leicestershire won by 3 wickets,1184,8,2015,8/7/15,8/10/15,day match,England,"Grace Road, Leicester",804409,First-class,4,1184,345,Derbyshire,http://www.espncricinfo.com/matches/engine/match/804409.html
Glamorgan,1080,Gloucestershire,1085,1080,,Gloucestershire won by 7 wickets,1085,8,2015,8/6/15,8/9/15,day match,England,"St Helen's, Swansea",804405,First-class,4,1080,299,Gloucestershire,http://www.espncricinfo.com/matches/engine/match/804405.html
